short_name,long_name,player_positions,overall,potential,age,height_cm,weight_kg,club_team_id,club_position,club_jersey_number,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
Go Yo Han,고요한 高约翰,"CM, RW",72,72,30,170,65,982,RCM,13,167,Korea Republic,,,,Right,3,3,1,High/Medium,Normal (170-),No,83,61,69,69,63,70,65,62,60,73,50,66,50,62,69,67,84,83,85,72,84,59,86,90,63,63,59,69,68,73,52,65,60,64,59
Ö. Şişmanoğlu,Ömer Hasan Şişmanoğlu,"ST, CAM, RW",72,72,28,186,83,113259,SUB,7,21,Germany,,,,Right,3,3,1,Medium/Low,Normal (185+),No,75,68,59,67,44,69,53,72,75,67,62,67,53,44,49,68,72,77,66,73,58,65,81,69,74,62,53,41,75,63,63,69,47,32,47
Fábio Pacheco,Fábio José Ferreira Pacheco,"CDM, CB",72,72,30,180,73,1900,SUB,6,38,Portugal,,,,Right,3,2,1,Medium/High,Lean (170-185),No,68,54,62,63,71,73,51,45,57,71,48,60,49,58,67,65,66,69,65,75,71,69,78,74,68,64,83,74,53,57,44,70,72,74,69
L. Montes,Luis Arturo Montes Jiménez,"CAM, LM",72,72,32,165,67,110781,CAM,10,83,Mexico,,,,Left,3,3,1,High/Medium,Normal (170-),No,66,69,75,71,47,66,72,67,46,76,73,67,73,74,74,72,67,66,82,68,87,71,70,75,59,72,70,55,66,76,68,73,45,43,45
J. Russell,Johnny Russell,"RW, LW, LM",72,72,28,177,70,696,SUB,7,42,Scotland,,,,Left,3,3,1,High/High,Normal (170-185),Yes,78,68,68,74,42,76,69,67,67,69,53,75,68,58,67,73,76,79,74,69,76,77,82,82,72,64,78,46,72,69,65,65,39,38,30
Vasco Fernandes,Vasco Herculano Salgado Cunha Mango Fernandes,CB,72,72,31,182,76,665,LCB,13,38,Portugal,,,,Right,3,2,1,Medium/High,Normal (170-185),No,65,40,56,63,71,77,55,27,71,61,49,60,58,48,58,67,67,64,66,66,69,59,89,80,73,49,79,71,43,48,38,69,69,74,71
Ø. Nyland,Ørjan Håskjold Nyland,GK,72,75,27,192,90,2,GK,1,36,Norway,1352,SUB,12,Right,4,1,1,Medium/Medium,Normal (185+),No,,,,,,,12,11,13,35,14,21,13,14,46,23,47,48,45,67,53,23,71,33,71,13,26,21,13,28,25,41,17,11,12
O. Norwood,Oliver Norwood,"CM, CDM",72,73,27,175,69,1794,RCM,16,35,Northern Ireland,110081,CDM,16,Right,3,3,1,Medium/Medium,Lean (170-185),No,58,66,74,67,69,65,70,58,58,76,69,63,72,73,77,74,61,55,68,65,73,77,64,66,61,73,72,72,59,72,70,69,68,70,69
T. Hubočan,Tomáš Hubočan,"CB, LB",72,72,32,184,70,219,SUB,25,43,Slovakia,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,58,53,57,56,72,78,59,45,73,63,52,50,38,32,57,56,65,53,77,63,70,69,87,80,77,57,75,66,42,54,63,73,72,73,76
A. Clayton,Adam Clayton,"CDM, CM",72,72,29,175,75,12,CDM,8,14,England,,,,Right,3,3,1,Low/High,Normal (170-185),Yes,67,61,71,68,67,70,69,59,45,75,40,67,67,66,73,70,67,67,66,71,69,68,61,72,65,66,80,73,55,66,66,75,65,72,69
René,René Román Hinojo,GK,72,72,34,186,79,1861,GK,1,45,Spain,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,12,18,17,25,19,14,16,22,40,19,51,56,62,68,60,23,82,24,67,17,29,16,15,28,21,52,18,13,19
G. Vural,Güray Vural,"LM, RM, LB",72,72,30,177,65,111340,SUB,10,48,Turkey,,,,Left,3,3,1,High/Medium,Lean (170-185),No,83,69,65,75,66,63,75,64,65,66,69,74,77,70,61,76,82,83,78,71,77,78,75,82,50,72,71,65,66,51,68,66,64,68,64
R. Espinoza,Róger Espinoza Ramírez,"CM, CDM",72,72,31,180,77,696,RCM,17,81,Honduras,,,,Left,4,3,1,High/High,Normal (170-185),Yes,65,67,67,71,70,81,62,62,70,70,59,71,67,58,72,69,67,64,72,73,75,81,80,88,75,69,87,70,68,67,60,69,72,69,70
Kiko Olivas,Francisco José Olivas Alba,CB,72,72,29,189,83,462,RCB,4,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,38,52,53,55,71,84,44,56,71,64,53,49,30,36,56,65,36,39,53,71,40,62,62,88,90,36,71,72,57,49,38,66,68,75,67
R. Wolf,Raphael Wolf,GK,72,72,30,190,86,110636,GK,30,21,Germany,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,11,11,16,19,11,14,13,11,18,20,34,33,43,68,31,24,64,27,75,13,28,14,10,35,23,36,12,13,14
J. Hamad,Jiloan Mohamed Hamad,"RM, LM",72,72,27,173,72,708,LM,6,46,Sweden,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,74,65,70,74,47,65,66,62,22,73,67,70,65,66,65,73,76,73,89,73,87,68,79,79,60,69,56,47,72,76,64,73,56,47,43
V. Granat,Vladimir Granat,CB,72,72,31,184,79,,,,40,Russia,1357,SUB,14,Left,3,2,1,Medium/Medium,Normal (170-185),No,43,53,61,52,74,70,62,43,65,64,49,48,67,54,68,50,50,37,65,72,56,73,71,63,71,64,75,74,29,48,41,73,74,76,73
J. Pereira,Jair Pereira Rodríguez,CB,72,72,31,183,81,1880,LCB,4,83,Mexico,,,,Right,3,2,1,Low/High,Normal (170-185),No,46,38,52,52,72,76,50,31,79,60,19,54,30,33,54,53,46,46,40,57,53,50,70,70,81,43,70,72,35,50,50,61,70,73,71
L. Mareček,Lukáš Mareček,"CM, CDM, CAM",72,72,28,183,79,2007,LDM,23,12,Czech Republic,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,70,57,72,69,71,72,68,48,60,75,57,67,69,68,71,74,69,71,69,69,65,74,68,82,65,63,76,75,57,72,55,70,69,73,70
L. Immers,Lex Immers,"CM, CAM",72,72,32,187,78,650,RCM,10,34,Netherlands,,,,Right,2,2,1,High/High,Lean (185+),No,40,72,68,64,65,81,65,68,80,74,73,62,42,47,68,70,43,38,54,74,52,80,82,79,81,72,83,62,74,70,71,75,59,68,60
R. Gutiérrez,Roberto Carlos Gutiérrez Gamboa,ST,72,72,35,178,76,111328,ST,22,55,Chile,,,,Right,3,3,1,High/Low,Stocky (170-185),No,65,72,52,67,31,72,37,77,75,56,59,65,45,67,50,72,66,65,65,65,59,68,81,63,74,63,77,35,78,58,78,56,29,19,16
T. Kaminski,Thomas Kaminski,GK,72,75,25,190,80,100081,GK,28,7,Belgium,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,,,,,,,18,14,10,32,17,11,11,17,32,16,47,45,52,69,42,21,65,31,62,15,29,17,18,42,24,47,17,11,17
M. Iori,Manuel Iori,"CM, CDM",72,72,36,182,72,111993,CM,4,27,Italy,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,62,63,72,66,65,75,63,56,65,76,65,62,63,67,75,72,71,55,65,70,71,68,59,79,76,71,72,63,58,76,74,74,70,63,62
R. van La Parra,Rajiv van La Parra,"LM, RM",72,72,27,181,72,1939,LM,17,34,Netherlands,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,82,59,64,79,36,63,64,58,38,68,51,82,67,57,60,78,79,84,75,65,75,67,55,63,66,54,58,34,68,62,63,66,26,48,36
M. Abeid,Mehdi Abeid,"CDM, CM",72,75,25,178,85,110569,RCM,8,97,Algeria,,,,Right,3,3,1,Medium/Medium,Stocky (170-185),Yes,63,69,68,74,65,73,56,67,44,75,60,75,68,65,73,74,60,65,67,71,71,75,58,68,76,70,76,69,65,67,62,74,69,66,60
R. Salinas,Rodrigo Salinas Dorantes,"RB, LB",72,72,30,180,78,1882,RB,29,83,Mexico,,,,Right,3,3,1,High/High,Lean (170-185),No,70,65,70,68,69,72,73,62,61,75,44,69,70,61,63,70,69,70,63,70,53,74,65,78,70,67,70,68,69,68,73,75,70,71,72
F. Tabanou,Franck Tabanou,"LB, LWB",72,72,29,178,77,62,LB,27,18,France,,,,Left,3,3,1,High/Medium,Stocky (170-185),No,72,68,72,71,69,71,77,59,68,73,69,70,74,75,72,72,77,68,75,69,73,80,76,69,73,76,67,68,68,66,73,72,66,72,75
Laure,Laureano Sanabria Ruiz,RB,72,72,33,166,68,100831,RB,2,45,Spain,,,,Right,3,3,1,High/Medium,Normal (170-),No,70,46,63,68,68,63,71,44,55,67,54,63,61,39,63,71,71,69,73,74,89,68,67,70,58,26,68,78,44,56,48,62,60,71,75
Thiago Cionek,Thiago Rangel Cionek,CB,72,72,32,183,80,112791,SUB,4,37,Poland,1353,LCB,4,Right,3,2,1,Medium/High,Normal (170-185),No,68,26,44,52,72,75,35,22,66,54,34,46,31,25,52,56,67,68,65,64,59,31,91,62,83,26,68,74,30,36,39,65,70,73,72
M. Caire,Maximiliano Caire,RB,72,72,29,177,70,111715,SUB,32,52,Argentina,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,82,38,59,69,70,75,65,28,77,57,42,71,61,41,56,63,84,81,75,60,77,51,91,90,69,44,66,72,58,63,35,64,63,72,76
T. Torun,Tunay Torun,"RM, LM",72,72,28,176,72,742,SUB,55,48,Turkey,,,,Right,5,3,1,High/Medium,Normal (170-185),No,76,66,70,73,27,60,71,68,56,71,58,73,66,73,67,72,75,76,77,67,76,66,72,69,62,66,39,31,68,70,56,62,25,20,15
A. Esswein,Alexander Esswein,"RM, RWB, ST",72,72,28,183,85,166,SUB,7,21,Germany,,,,Right,3,3,2,Medium/Medium,Normal (170-185),No,86,71,65,73,63,75,70,68,67,68,68,75,68,54,61,73,85,86,66,74,63,86,78,68,77,70,76,48,65,59,60,64,69,68,59
G. Angella,Gabriele Angella,CB,72,72,29,189,79,55,RES,36,27,Italy,,,,Right,3,2,1,Low/Medium,Lean (185+),No,43,37,48,49,75,67,30,30,68,58,44,48,32,30,62,56,39,47,34,64,34,60,64,50,73,26,74,74,30,48,44,66,78,76,70
C. Pinsoglio,Carlo Pinsoglio,GK,72,72,28,194,85,45,RES,21,27,Italy,,,,Left,2,1,1,Medium/Medium,Lean (185+),No,,,,,,,13,11,13,24,8,18,11,18,28,22,43,41,36,62,40,18,71,34,60,6,32,18,11,35,22,64,20,12,13
N. Baker,Nathan Baker,CB,72,74,27,189,82,1919,LCB,6,14,England,,,,Left,2,2,1,Low/High,Normal (185+),Yes,53,34,42,38,71,78,44,30,74,54,30,26,41,20,40,48,51,54,46,72,48,59,74,64,83,19,84,70,23,27,35,53,70,71,74
L. Ariaudo,Lorenzo Ariaudo,CB,72,72,29,186,79,111657,SUB,15,27,Italy,,,,Left,3,2,1,Low/High,Lean (185+),No,53,34,50,56,73,71,35,30,72,59,22,52,41,30,62,58,53,53,57,66,63,47,80,65,72,34,72,72,33,45,30,68,71,75,71
M. Boland,Mirko Boland,"CM, CDM",72,72,31,174,70,111393,LCM,31,21,Germany,,,,Left,4,3,1,High/High,Normal (170-185),No,68,67,71,73,63,74,72,65,42,72,58,71,76,69,68,71,70,66,83,69,86,72,79,86,67,70,77,71,67,69,56,70,60,66,68
D. Čop,Duje Čop,ST,72,72,28,184,73,232,SUB,7,10,Croatia,,,,Right,3,3,1,High/Medium,Lean (170-185),No,57,75,65,69,33,67,58,76,68,69,75,68,74,75,57,73,66,50,66,73,59,70,65,73,68,74,59,32,78,66,78,71,27,30,30
A. Sissoko,Abdulwahid Sissoko,"CDM, CM",72,72,28,183,75,111340,RDM,20,126,Mali,,,,Left,3,2,1,High/Medium,Lean (170-185),No,68,61,66,63,68,76,69,61,61,69,58,54,54,47,67,73,67,69,71,72,62,72,68,83,74,52,74,70,66,64,52,68,70,69,65
Dani Hernández,Daniel Hernández Santos,GK,72,72,32,196,89,260,GK,25,61,Venezuela,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,,,,,,,13,6,23,41,13,12,23,12,39,34,34,30,48,70,41,25,75,38,74,13,40,26,16,31,25,52,12,7,9
J. Hušbauer,Josef Hušbauer,"CM, CDM, CAM",72,72,28,182,76,266,RDM,10,12,Czech Republic,,,,Right,4,3,1,High/High,Lean (170-185),No,64,66,74,70,57,62,75,58,49,74,57,68,72,71,73,74,66,63,69,70,67,79,59,77,58,76,55,65,56,76,69,68,47,64,62
Rogerinho,Rogério De Assis Silva Coutinho,"LM, LW, CAM",72,72,31,176,70,112389,LM,9,54,Brazil,,,,Right,4,3,1,High/Medium,Lean (170-185),No,82,67,66,77,35,61,64,68,61,67,66,78,64,68,60,75,83,81,83,68,78,70,68,62,58,62,63,26,67,71,65,68,29,39,31
M. van der Werff,Maikel van der Werff,CB,72,72,29,186,82,1909,RCB,3,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,58,59,66,56,71,71,65,52,68,68,55,51,66,69,68,63,59,57,53,67,61,78,69,60,76,65,74,73,30,59,61,70,71,71,70
Dani Castellano,Daniel Castellano Betancor,LB,72,72,30,180,69,472,LB,23,45,Spain,,,,Left,3,3,1,High/Medium,Normal (170-185),Yes,73,51,67,73,67,77,74,46,61,72,45,75,67,47,62,71,72,73,71,70,76,60,74,86,77,53,67,68,63,62,48,64,62,71,73
S. Sunzu,Stoppila Sunzu,CB,72,72,29,190,91,68,RCB,13,147,Zambia,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,65,38,53,50,70,76,36,23,72,66,35,39,47,55,64,62,53,74,55,61,67,50,81,74,78,57,71,67,34,42,46,67,67,74,72
Oier,Oier Sanjurjo Maté,"CB, LB, RB",72,72,32,178,72,479,RCB,6,45,Spain,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,73,61,67,67,70,77,64,61,66,70,44,64,61,45,65,68,72,74,70,70,73,64,83,79,75,62,80,72,69,73,56,61,69,71,69
B. Parker,Bernard Parker,"CF, ST, LM, CAM",72,72,32,170,65,110929,RS,25,140,South Africa,,,,Left,4,3,1,Medium/Medium,Normal (170-),No,75,71,69,75,38,54,67,70,72,74,64,75,71,72,61,74,74,76,80,70,82,75,85,74,39,69,60,31,69,67,73,69,56,19,24
M. Henriksen,Markus Henriksen,"CM, CAM",72,75,25,187,80,1952,RDM,22,36,Norway,1352,SUB,19,Right,2,3,1,High/Medium,Normal (185+),Yes,65,70,68,68,66,75,67,69,70,72,67,68,47,56,68,72,62,67,62,74,55,76,76,81,74,72,69,66,65,70,63,73,65,67,62
Mossa,José María Angresola Jiménez,"LWB, LB, LM",72,72,29,178,72,110827,LB,23,45,Spain,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,75,51,66,67,66,74,71,42,57,69,36,66,68,58,66,68,76,75,74,65,68,64,74,89,67,62,72,69,65,58,38,70,65,66,67
D. Villalva,Daniel Alberto Villalva Barrios,"LM, ST, CF",72,73,25,158,61,110150,RCM,11,52,Argentina,,,,Right,4,4,1,Medium/Medium,Normal (170-),No,79,68,66,78,32,47,61,65,61,70,73,78,71,63,59,74,79,79,85,68,91,72,78,72,32,70,43,49,65,69,63,77,22,23,22
H. Bazile,Hervé Bazile,"LM, LW, RM",72,72,28,182,78,1738,LM,29,80,Haiti,,,,Left,3,3,1,High/Low,Normal (170-185),No,82,69,69,71,32,61,71,72,64,69,63,73,68,73,64,70,79,84,72,65,68,69,67,65,65,65,43,25,66,68,65,68,31,28,29
E. Lamanna,Eugenio Lamanna,GK,72,74,28,187,80,110741,GK,1,27,Italy,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,19,19,17,35,19,18,12,17,37,24,29,33,39,69,38,23,61,26,52,16,30,14,11,31,24,65,8,14,13
Rúben Micael,Rúben Micael Freitas da Ressurreição,CM,72,72,31,176,70,665,LCM,15,38,Portugal,,,,Right,3,3,2,High/Medium,Normal (170-185),No,63,69,75,75,52,60,73,64,59,76,67,74,80,74,72,77,66,61,72,71,74,76,65,50,60,71,69,60,73,78,68,74,47,54,40
A. Elmohamady,Ahmed Eissa El Mohamady Abdel Fattah,"RB, RM",72,72,30,182,78,2,RM,27,111,Egypt,111130,SUB,3,Right,3,3,2,Medium/Medium,Lean (170-185),Yes,76,64,71,70,66,73,72,61,72,73,60,68,76,69,69,72,76,76,72,72,63,70,81,86,72,66,59,71,69,67,59,68,62,66,61
Dídac Vilà,Dídac Vilá Rosselló,LB,72,72,29,185,75,452,LB,12,45,Spain,,,,Left,3,3,1,High/Medium,Normal (185+),No,71,47,62,68,72,75,70,32,69,64,34,72,69,37,66,68,69,73,57,66,45,72,72,73,75,57,78,75,59,54,34,66,67,75,76
F. Kroos,Felix Kroos,"CDM, CM",72,75,27,184,78,1831,SUB,23,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,65,63,67,70,67,73,50,59,61,74,58,69,69,73,69,73,66,64,68,71,68,71,71,73,71,68,77,73,62,68,60,70,62,70,66
F. Martínez,Fidel Francisco Martínez Tenorio,"ST, LM",72,72,28,180,77,,,,57,Ecuador,111465,SUB,11,Left,3,3,1,High/Low,Lean (170-185),No,80,68,67,76,34,68,66,68,67,69,60,78,75,68,63,76,78,82,79,70,62,75,80,75,64,61,66,45,73,65,70,67,20,25,46
O. Hawsawi,Osama Abdulrezag Hawsawi,CB,72,72,34,188,83,112408,RCB,3,183,Saudi Arabia,,,,Right,3,2,2,Medium/High,Normal (185+),Yes,60,57,52,56,72,76,44,57,72,65,48,54,50,42,57,52,59,60,66,70,68,65,76,75,79,48,68,69,57,34,64,70,72,73,71
S. Koroki,興梠 慎三,ST,72,72,31,175,72,111575,RS,30,163,Japan,,,,Right,4,3,1,High/Low,Lean (170-185),No,71,69,62,72,31,68,49,68,76,68,70,67,46,55,55,77,75,68,80,68,75,69,68,69,66,70,74,34,77,76,71,73,26,21,23
M. Rits,Mats Rits,"CM, CDM, CAM",72,76,24,178,73,231,SUB,26,7,Belgium,,,,Right,5,3,1,Medium/Medium,Normal (170-185),No,62,62,71,70,64,67,67,59,47,72,58,68,67,69,71,73,57,66,69,69,74,62,53,72,65,67,68,66,72,73,57,68,68,66,62
Paulinho,Paulo José de Oliveira,LW,72,72,32,174,75,711,LW,10,54,Brazil,,,,Right,4,4,1,Medium/Medium,Normal (170-185),No,75,73,61,76,24,67,60,72,41,62,72,75,71,70,50,74,79,72,79,72,89,72,75,59,66,75,76,18,78,65,67,76,38,12,17
R. Krhin,Rene Krhin,"CDM, CM",72,72,28,189,81,71,SUB,21,44,Slovenia,1361,RDM,6,Right,3,2,1,Low/Medium,Lean (185+),No,43,54,65,61,71,71,59,49,60,72,47,59,60,49,68,70,46,40,45,70,45,63,57,64,75,55,72,74,53,64,58,73,72,76,61
S. Jung,Sebastian Alexander Jung,RB,72,72,28,179,72,175,RES,24,21,Germany,,,,Right,4,3,2,High/Medium,Normal (170-185),Yes,69,51,72,72,72,64,78,42,61,75,44,71,70,45,74,74,71,68,68,72,75,72,73,47,66,54,76,72,53,64,44,74,74,73,73
S. Polter,Sebastian Polter,ST,72,73,27,190,88,1831,RES,9,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,71,71,51,64,28,82,51,74,74,55,68,63,45,42,47,67,65,75,58,70,59,77,72,73,88,61,80,30,73,50,55,69,15,30,13
A. Luthe,Andreas Luthe,GK,72,72,31,195,85,100409,GK,1,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,14,12,15,24,12,12,15,12,19,14,38,50,39,63,34,23,61,36,74,16,22,21,12,49,21,23,16,14,12
M. Diallo,Moustapha Elhadji Diallo,"CDM, CM",72,72,32,192,78,224,LCM,2,136,Senegal,,,,Right,3,2,1,Medium/High,Lean (185+),No,45,53,64,61,72,81,59,48,79,75,46,57,50,46,66,69,34,54,54,70,53,60,81,68,85,60,88,73,50,54,48,68,71,69,71
E. Prib,Edgar Prib,"LM, LB, CM",72,72,28,180,77,485,RES,7,40,Russia,,,,Left,3,3,2,Medium/High,Normal (170-185),No,71,67,71,73,66,65,73,61,55,72,63,73,71,68,67,73,73,69,69,72,74,74,71,63,67,76,63,66,69,70,57,65,70,66,66
L. Cabrera,Leandro Daniel Cabrera Sasía,"CB, LB",72,75,26,187,80,1860,SUB,6,60,Uruguay,,,,Left,3,2,1,Low/High,Normal (185+),No,63,31,59,57,68,80,60,23,79,69,27,52,46,48,59,62,61,64,66,60,53,42,91,76,82,35,78,65,34,45,49,56,55,75,78
L. Rodríguez,Luis Miguel Rodríguez,"ST, CAM",72,72,33,168,71,111708,ST,7,52,Argentina,,,,Right,4,4,1,Medium/Low,Stocky (170-),No,69,74,70,74,23,60,66,74,62,70,66,75,70,73,69,76,69,69,72,65,74,76,75,47,61,76,72,15,75,75,71,73,21,16,22
M. Klich,Mateusz Andrzej Klich,"CM, CDM",72,72,28,183,82,8,RDM,43,37,Poland,,,,Right,3,3,1,High/Medium,Normal (170-185),No,57,68,72,72,54,65,67,68,48,75,59,71,69,66,75,75,65,50,67,67,70,66,64,67,69,67,51,62,71,72,76,73,52,54,45
A. Ajdarević,Astrit Ajdarević,"CM, CAM",72,72,28,190,85,278,RES,6,1,Albania,,,,Left,2,3,1,Medium/Low,Normal (185+),No,63,66,75,70,50,69,76,58,60,74,63,73,73,72,78,76,60,65,48,70,44,84,46,64,78,70,60,58,65,75,60,70,45,49,39
V. Le Goff,Vincent Le Goff,LB,72,72,28,177,68,217,LB,25,18,France,,,,Left,3,3,1,High/Medium,Lean (170-185),No,71,60,68,71,70,67,72,58,42,71,52,70,50,47,73,71,73,69,78,63,71,60,62,80,62,68,62,73,71,63,43,68,73,74,75
W. Foderingham,Wesley Foderingham,GK,72,75,27,185,75,86,SUB,13,14,England,,,,Left,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,21,13,20,37,13,12,14,14,32,28,46,40,60,71,44,23,58,34,72,15,30,19,12,66,14,52,12,20,11
N. Etheridge,Neil Leonard Dula Etheridge,GK,72,74,28,191,89,1961,GK,1,181,Philippines,,,,Right,3,1,1,Medium/Medium,Stocky (185+),No,,,,,,,11,13,11,31,11,21,18,18,21,32,51,53,54,71,58,24,45,34,76,11,16,24,18,48,43,62,12,14,13
B. Jeannot,Benjamin Jeannot,ST,72,75,26,183,78,110569,SUB,29,18,France,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,65,73,59,68,30,61,51,74,67,65,71,65,50,49,59,72,67,64,72,74,65,73,69,54,66,71,54,32,74,62,71,69,32,19,19
M. Leovac,Marin Leovac,"LB, LM",72,72,29,180,71,211,LB,22,10,Croatia,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,79,47,64,69,69,73,73,33,57,66,39,69,71,55,68,68,80,78,72,68,68,70,71,74,73,56,74,67,58,48,33,66,69,72,73
C. Trimmel,Christopher Trimmel,"RB, CB",72,72,31,189,81,1831,RB,28,4,Austria,,,,Right,3,3,1,High/Medium,Normal (185+),No,81,59,66,67,66,80,74,60,64,69,56,68,57,42,62,67,74,86,70,72,55,61,54,88,80,56,75,59,65,65,59,62,70,69,65
F. Pisacane,Fabio Pisacane,"CB, RB",72,72,32,178,77,1842,SUB,19,27,Italy,,,,Right,2,2,1,Medium/High,Normal (170-185),No,69,26,50,62,72,70,60,20,62,58,14,61,28,25,45,60,69,69,67,74,67,32,93,60,71,32,73,71,49,41,28,66,71,76,72
P. Klingmann,Philipp Klingmann,"RB, RWB",72,72,30,180,79,110178,RB,24,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,66,58,66,65,72,73,74,51,64,70,51,63,51,62,64,68,67,65,63,70,65,73,71,78,74,65,63,70,55,55,47,62,75,72,71
Aitor,Aitor Fernández Abarisketa,GK,72,75,27,182,78,1853,SUB,25,45,Spain,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,,,,,,,30,12,20,21,15,22,34,14,22,14,58,53,70,64,48,32,82,42,48,12,15,24,15,45,24,50,14,13,12
V. Belec,Vid Belec,GK,72,74,28,192,93,1837,SUB,72,44,Slovenia,1361,GK,12,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,11,10,13,24,10,13,11,13,28,21,53,43,55,67,31,23,75,20,59,16,25,21,11,23,23,70,19,10,11
M. Schmiedebach,Manuel Schmiedebach,CDM,72,72,29,171,70,1831,CDM,24,21,Germany,,,,Right,4,3,2,High/High,Normal (170-185),No,70,47,67,71,70,71,65,31,54,70,48,69,58,51,69,70,72,68,75,70,86,68,85,76,65,57,78,71,64,69,49,66,75,71,69
L. Benito,Loris Benito Souto,LB,72,75,26,184,85,900,LB,23,47,Switzerland,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,81,49,64,65,67,74,69,41,57,66,34,62,56,41,60,67,78,83,77,69,56,61,77,85,72,53,63,72,61,64,56,68,65,68,72
S. Prediger,Leonardo Sebastián Prediger,CDM,72,72,31,184,84,111715,CM,21,52,Argentina,,,,Right,3,3,1,Medium/High,Lean (170-185),No,70,62,66,69,72,77,62,55,73,65,68,68,66,71,65,73,68,72,71,68,60,72,80,82,73,69,81,71,61,72,58,73,72,74,68
B. Kayal,Beram Kayal,"CM, CAM",72,72,30,178,74,1808,SUB,7,26,Israel,,,,Right,3,3,1,Medium/High,Normal (170-185),Yes,66,61,70,72,68,78,65,54,64,74,53,72,58,57,72,71,65,66,74,67,72,72,92,88,69,67,83,67,62,72,58,72,68,71,68
V. Regini,Vasco Regini,"LB, CB",72,73,27,185,79,1837,SUB,19,27,Italy,,,,Left,2,2,1,Medium/Medium,Lean (185+),No,68,39,54,61,74,71,64,32,64,64,25,56,44,33,60,64,68,68,68,72,59,68,72,69,72,27,70,76,46,30,43,60,72,78,76
Ž. Tomašević,Žarko Tomašević,"CB, LB",72,73,28,190,84,682,LCB,33,15,Montenegro,,,,Left,4,2,1,Medium/Medium,Normal (185+),No,53,59,66,63,70,78,72,54,73,69,53,64,58,57,67,66,65,44,55,67,53,69,62,78,81,65,73,71,54,59,54,65,68,71,72
A. Camara,Abdoul Razzagui Camara,"LW, LM, RM",72,72,28,178,71,62,SUB,9,118,Guinea,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,91,67,65,74,31,69,68,64,64,66,63,75,69,49,63,73,90,91,76,62,74,76,71,69,70,68,64,26,66,67,52,69,27,29,27
C. Moritz,Christoph Moritz,"CM, CDM",72,72,28,186,80,28,SUB,13,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,60,59,70,72,71,70,73,53,63,72,53,72,59,49,70,73,52,66,75,73,66,69,68,86,69,57,52,76,65,72,78,77,73,69,67
R. Gikiewicz,Rafał Gikiewicz,GK,72,72,30,190,81,1831,GK,1,37,Poland,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,18,13,12,24,15,18,19,12,20,19,27,29,38,67,40,15,56,20,68,13,22,12,12,48,19,31,13,14,13
António Filipe,António Filipe Norinho de Carvalho,GK,72,72,33,187,81,518,SUB,1,38,Portugal,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,13,11,15,15,14,11,14,14,16,13,36,31,43,63,31,20,69,33,65,14,29,18,11,69,12,41,14,13,11
